employee_number,arrive_time,rubbish_1,rubbish_2,rubbish_3,rubbish_4
2,14/03/2022 13:04,1,0,1,0
2,15/03/2022 12:00,1,0,1,0
13,15/03/2022 12:56,1,0,1,0
6,15/03/2022 18:43,1,0,1,0
1,15/03/2022 18:43,1,0,1,0
8,16/03/2022 08:12,1,0,1,0
14,16/03/2022 08:27,1,0,1,0
7,16/03/2022 08:45,1,0,1,0
2,16/03/2022 08:51,1,0,1,0
3,16/03/2022 08:52,1,0,1,0
13,16/03/2022 08:59,1,0,1,0
10,16/03/2022 09:01,1,0,1,0
11,16/03/2022 09:01,1,0,1,0
6,16/03/2022 09:03,1,0,1,0
12,16/03/2022 09:03,1,0,1,0
4,16/03/2022 10:55,1,0,1,0
3,16/03/2022 18:46,1,0,1,0
3,16/03/2022 18:46,1,0,1,0
14,17/03/2022 08:01,1,0,1,0
8,17/03/2022 08:26,1,0,1,0
6,17/03/2022 08:26,1,0,1,0
7,17/03/2022 08:37,1,0,1,0
10,17/03/2022 08:40,1,0,1,0
12,17/03/2022 08:42,1,0,1,0
3,17/03/2022 08:49,1,0,1,0
11,17/03/2022 09:06,1,0,1,0
4,17/03/2022 09:11,1,0,1,0
2,17/03/2022 09:15,1,0,1,0
1,17/03/2022 09:17,1,0,1,0
13,17/03/2022 14:08,1,0,1,0
3,17/03/2022 18:12,1,0,1,0
14,18/03/2022 08:14,1,0,1,0
8,18/03/2022 08:24,1,0,1,0
13,18/03/2022 08:42,1,0,1,0
7,18/03/2022 08:45,1,0,1,0
3,18/03/2022 08:46,1,0,1,0
1,18/03/2022 08:47,1,0,1,0
9,18/03/2022 08:58,1,0,1,0
12,18/03/2022 08:59,1,0,1,0
10,18/03/2022 09:00,1,0,1,0
6,18/03/2022 09:04,1,0,1,0
2,18/03/2022 09:13,1,0,1,0
11,18/03/2022 11:39,1,0,1,0
4,18/03/2022 11:39,1,0,1,0
8,18/03/2022 18:00,1,0,1,0
3,18/03/2022 18:08,1,0,1,0
1,18/03/2022 18:10,1,0,1,0
7,18/03/2022 18:41,1,0,1,0
9,18/03/2022 18:41,1,0,1,0
10,18/03/2022 18:41,1,0,1,0
14,19/03/2022 07:58,1,0,1,0
1,19/03/2022 08:37,1,0,1,0
10,19/03/2022 08:54,1,0,1,0
13,19/03/2022 08:59,1,0,1,0
6,19/03/2022 08:59,1,0,1,0
3,19/03/2022 09:01,1,0,1,0
2,19/03/2022 09:02,1,0,1,0
8,19/03/2022 09:03,1,0,1,0
11,19/03/2022 09:12,1,0,1,0
4,19/03/2022 09:12,1,0,1,0
9,19/03/2022 09:13,1,0,1,0
3,19/03/2022 13:58,1,0,1,0
8,19/03/2022 13:58,1,0,1,0
1,19/03/2022 14:02,1,0,1,0
14,21/03/2022 08:11,1,0,1,0
7,21/03/2022 08:30,1,0,1,0
8,21/03/2022 08:31,1,0,1,0
3,21/03/2022 08:49,1,0,1,0
6,21/03/2022 08:51,1,0,1,0
1,21/03/2022 08:56,1,0,1,0
2,21/03/2022 09:02,1,0,1,0
10,21/03/2022 09:09,1,0,1,0
9,21/03/2022 09:12,1,0,1,0
8,21/03/2022 18:00,1,0,1,0
1,21/03/2022 18:17,1,0,1,0
6,21/03/2022 18:17,1,0,1,0
3,21/03/2022 18:40,1,0,1,0
14,22/03/2022 08:17,1,0,1,0
8,22/03/2022 08:21,1,0,1,0
12,22/03/2022 08:34,1,0,1,0
3,22/03/2022 08:57,1,0,1,0
3,22/03/2022 08:57,1,0,1,0
2,22/03/2022 08:58,1,0,1,0
10,22/03/2022 08:59,1,0,1,0
6,22/03/2022 09:06,1,0,1,0
13,22/03/2022 09:10,1,0,1,0
11,22/03/2022 09:15,1,0,1,0
9,22/03/2022 09:20,1,0,1,0
8,22/03/2022 18:00,1,0,1,0
3,22/03/2022 18:31,1,0,1,0
7,23/03/2022 08:05,1,0,1,0
14,23/03/2022 08:09,1,0,1,0
6,23/03/2022 08:25,1,0,1,0
10,23/03/2022 08:52,1,0,1,0
8,23/03/2022 08:59,1,0,1,0
3,23/03/2022 08:59,1,0,1,0
2,23/03/2022 09:00,1,0,1,0
12,23/03/2022 09:05,1,0,1,0
12,23/03/2022 09:05,1,0,1,0
9,23/03/2022 09:13,1,0,1,0
9,23/03/2022 09:13,1,0,1,0
11,23/03/2022 09:20,1,0,1,0
1,23/03/2022 14:18,1,0,1,0
8,23/03/2022 18:01,1,0,1,0
3,23/03/2022 18:11,1,0,1,0
6,23/03/2022 18:22,1,0,1,0
1,23/03/2022 18:22,1,0,1,0
7,23/03/2022 18:51,1,0,1,0
14,24/03/2022 08:17,1,0,1,0
16,24/03/2022 08:17,1,0,1,0
